Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
2.74283	Src1	0	216	FullDelay	0.582834	582834	1	1
2.75363	Src1	0	197	LastDelay	0.78363	783630	1	1
2.75363	Src1	0	197	FullDelay	0.78363	783630	1	1
2.75603	Src2	0	216	LastDelay	0.596034	596034	1	1
2.75603	Src2	0	216	FullDelay	0.596034	596034	1	1
2.76683	Src2	0	200	LastDelay	0.76683	766830	1	1
2.76683	Src2	0	200	FullDelay	0.76683	766830	1	1
2.76803	Src1	0	217	LastDelay	0.598034	598034	1	1
2.76803	Src1	0	217	FullDelay	0.598034	598034	1	1
2.77883	Src1	0	200	LastDelay	0.77883	778830	1	1
2.77883	Src1	0	200	FullDelay	0.77883	778830	1	1
2.78003	Src2	0	217	LastDelay	0.610034	610034	1	1
2.78003	Src2	0	217	FullDelay	0.610034	610034	1	1
2.79083	Src1	0	202	LastDelay	0.77083	770830	1	1
2.79083	Src1	0	202	FullDelay	0.77083	770830	1	1
2.79323	Src2	0	218	LastDelay	0.613234	613234	1	1
2.79323	Src2	0	218	FullDelay	0.613234	613234	1	1
2.80283	Src1	0	203	LastDelay	0.77283	772830	1	1
2.80283	Src1	0	203	FullDelay	0.77283	772830	1	1
2.80523	Src1	0	219	LastDelay	0.615234	615234	1	1
2.80523	Src1	0	219	FullDelay	0.615234	615234	1	1
2.81603	Src2	0	204	LastDelay	0.77603	776030	1	1
2.81603	Src2	0	204	FullDelay	0.77603	776030	1	1
2.81726	Src2	0	220	LastDelay	0.617265	617265	1	1
2.81726	Src2	0	220	FullDelay	0.617265	617265	1	1
2.82803	Src2	0	207	LastDelay	0.75803	758030	1	1
2.82803	Src2	0	207	FullDelay	0.75803	758030	1	1
2.83043	Src1	0	221	LastDelay	0.620434	620434	1	1
2.83043	Src1	0	221	FullDelay	0.620434	620434	1	1
2.84003	Src1	0	208	LastDelay	0.76003	760030	1	1
2.84003	Src1	0	208	FullDelay	0.76003	760030	1	1
2.84363	Src2	0	222	LastDelay	0.623634	623634	1	1
2.84363	Src2	0	222	FullDelay	0.623634	623634	1	1
